encoder,learner,scenario,metric,mean,sd,ci95,n
GRU,MAPPO,S4,dwell,6.866481689180041,0.7457977257958394,"[6.332970135574771, 7.399993242785311]",10
GRU,MAPPO,S4,depth,5.110543308978042,0.4631314263369408,"[4.779239044775867, 5.441847573180217]",10
GRU,MAPPO,S4,protected,0.41333487908447725,0.08576940556077361,"[0.3519791424955791, 0.4746906156733754]",10
LSTM,MAPPO,S4,dwell,6.980353983152365,0.6149626471248328,"[6.540436206617615, 7.420271759687115]",10
LSTM,MAPPO,S4,depth,5.178193537305087,0.48500851088659475,"[4.831239349587813, 5.525147725022361]",10
LSTM,MAPPO,S4,protected,0.4197141877078555,0.07136492151167276,"[0.368662798260426, 0.47076557715528505]",10
NoHistory,IPPO,S4,dwell,5.668923570429621,0.7502388540024022,"[5.132235025091486, 6.205612115767757]",10
NoHistory,IPPO,S4,depth,4.431631844838423,0.44507040351187854,"[4.11324765804305, 4.750016031633796]",10
NoHistory,IPPO,S4,protected,0.28143336138314734,0.10713496759996304,"[0.2047936224395704, 0.3580731003267243]",10
NoHistory,MAPPO,S4,dwell,6.050374258701043,0.5951026177565122,"[5.624663491327702, 6.476085026074385]",10
NoHistory,MAPPO,S4,depth,4.650316046829677,0.35737348835237853,"[4.394666453925976, 4.905965639733378]",10
NoHistory,MAPPO,S4,protected,0.29012670840377097,0.07928743358727698,"[0.23340789523042196, 0.34684552157712]",10
Transformer,IPPO,S5,dwell,1.1404143472794748,0.41535607067656527,"[0.8432865136841543, 1.4375421808747952]",10
Transformer,IPPO,S5,depth,1.0733211759890349,0.36648128723958345,"[0.81115625625318, 1.3354860957248897]",10
Transformer,IPPO,S5,protected,0.5677109533394231,0.09408969182885718,"[0.5004032425089985, 0.6350186641698478]",10
GRU,IPPO,S5,dwell,1.438561239331141,0.5403512475431423,"[1.0520172427512902, 1.825105235910992]",10
GRU,IPPO,S5,depth,1.3378855484819259,0.4629950922441284,"[1.0066788118145638, 1.669092285149288]",10
GRU,IPPO,S5,protected,0.6642751517362497,0.16031741886247725,"[0.549590979005585, 0.7789593244669145]",10
LSTM,IPPO,S5,dwell,1.1115304012156442,0.477587567965063,"[0.7698848362661022, 1.4531759661651862]",10
LSTM,IPPO,S5,depth,1.0513869027487903,0.4214440168768929,"[0.7499040147958875, 1.352869790701693]",10
LSTM,IPPO,S5,protected,0.5484203766153597,0.14814832608989437,"[0.4424414484389598, 0.6543993047917597]",10
Transformer,MAPPO,S5,dwell,1.306680872716336,0.4858275485975333,"[0.9591407807162918, 1.6542209647163801]",10
Transformer,MAPPO,S5,depth,1.2089932593990071,0.3986121263404039,"[0.9238433220177482, 1.494143196780266]",10
Transformer,MAPPO,S5,protected,0.606041850274551,0.14567617937783692,"[0.5018313893211941, 0.710252311227908]",10
GRU,MAPPO,S5,dwell,1.0485896068413985,0.5170658616508981,"[0.6787029718677563, 1.4184762418150405]",10
GRU,MAPPO,S5,depth,0.9919907499660254,0.44591299922845606,"[0.6730038065058577, 1.3109776934261932]",10
GRU,MAPPO,S5,protected,0.5253800165323369,0.1563775035752499,"[0.41351428941132956, 0.6372457436533442]",10
LSTM,MAPPO,S5,dwell,1.0468968333508364,0.3962170590471716,"[0.7634602238980556, 1.3303334428036173]",10
LSTM,MAPPO,S5,depth,0.9978155887635586,0.33716390547689445,"[0.7566230605366218, 1.2390081169904954]",10
LSTM,MAPPO,S5,protected,0.5301454178697074,0.13237425678783896,"[0.43545057910379265, 0.6248402566356221]",10
NoHistory,IPPO,S5,dwell,0.8918636571032236,0.4184623962077934,"[0.592513692086946, 1.191213622119501]",10
NoHistory,IPPO,S5,depth,0.8594417066354281,0.3650413765814863,"[0.5983068369328238, 1.1205765763380322]",10
NoHistory,IPPO,S5,protected,0.4836614720378819,0.14012976972792032,"[0.3834186735309351, 0.5839042705448287]",10
NoHistory,MAPPO,S5,dwell,0.6999857813873143,0.10154739368280183,"[0.6273431520330002, 0.7726284107416284]",10
NoHistory,MAPPO,S5,depth,0.6904070802372486,0.09746806523605281,"[0.620682626659039, 0.7601315338154583]",10
NoHistory,MAPPO,S5,protected,0.4098352972917446,0.03764761605577198,"[0.38290381515291605, 0.4367667794305732]",10
Transformer,IPPO,S6,dwell,8.382597436207522,1.3092253331098997,"[7.4460340526956115, 9.319160819719432]",10
Transformer,IPPO,S6,depth,4.391725750505958,0.5361853055268736,"[4.008161889317318, 4.775289611694598]",10
Transformer,IPPO,S6,protected,0.3376127294222162,0.08388124328090699,"[0.277607702759814, 0.3976177560846184]",10
GRU,IPPO,S6,dwell,7.786809057016401,1.5392241028792861,"[6.685714465185203, 8.8879036488476]",10
GRU,IPPO,S6,depth,4.095847333536297,0.5624036606680671,"[3.6935279909342134, 4.498166676138381]",10
GRU,IPPO,S6,protected,0.319860985242892,0.07619804127439164,"[0.26535219019581824, 0.3743697802899658]",10
LSTM,IPPO,S6,dwell,9.148215673928352,1.262098571811964,"[8.24536474456695, 10.051066603289753]",10
